#          iterations=   6     deuteron energy=-.222458389E+01 MeV
#
#
#                  D-state probability=0.575987699E-01
#
#
#
#
#   p(fm-1)          3s1(fm**3/2)      3d1(fm**3/2)
 0.117331391E+03  -.390262202E-10  -.139372814E-09
 0.117518592E+03  0.165585444E-10  0.336164385E-10
 0.117703626E+03  0.512840382E-10  0.141124325E-09
 0.117886484E+03  0.240779074E-10  0.562519501E-10
 0.118067161E+03  -.310931997E-10  -.114853745E-09
 0.118245648E+03  -.499475311E-10  -.172651603E-09
 0.118421938E+03  -.125457719E-10  -.559303890E-10
 0.118596026E+03  0.382055891E-10  0.101615487E-09
 0.118767903E+03  0.475485541E-10  0.130184973E-09
 0.118937563E+03  0.719480507E-11  0.470264447E-11
 0.119105000E+03  -.399744675E-10  -.141357071E-09
 0.119270206E+03  -.468823984E-10  -.162092947E-09
 0.119433176E+03  -.835325111E-11  -.420260409E-10
 0.119593903E+03  0.375707157E-10  0.100454984E-09
 0.119752380E+03  0.484662804E-10  0.133869172E-09
 0.119908602E+03  0.159919094E-10  0.328408127E-10
 0.120062561E+03  -.299008625E-10  -.109357873E-09
 0.120214253E+03  -.499165216E-10  -.170876146E-09
 0.120363671E+03  -.287223179E-10  -.104553340E-09
 0.120510808E+03  0.150374526E-10  0.314011595E-10
 0.120655661E+03  0.465491800E-10  0.128937697E-09
 0.120798222E+03  0.427278079E-10  0.116712313E-09
 0.120938486E+03  0.795299672E-11  0.868685326E-11
 0.121076448E+03  -.318548068E-10  -.114563329E-09
 0.121212102E+03  -.493177698E-10  -.168212619E-09
 0.121345442E+03  -.339930170E-10  -.120170143E-09
 0.121476464E+03  0.273333299E-11  -.602199935E-11
 0.121605163E+03  0.371556247E-10  0.100636691E-09
 0.121731532E+03  0.489130397E-10  0.136786715E-09
 0.121855569E+03  0.324441945E-10  0.854384719E-10
 0.121977266E+03  -.162884557E-11  -.202621685E-10
 0.122096620E+03  -.341853956E-10  -.120969754E-09
 0.122213626E+03  -.486131099E-10  -.165265623E-09
 0.122328280E+03  -.388335714E-10  -.134500027E-09
 0.122440576E+03  -.108955971E-10  -.476073006E-10
 0.122550510E+03  0.214111540E-10  0.525840283E-10
 0.122658079E+03  0.437348643E-10  0.121610093E-09
 0.122763277E+03  0.473803799E-10  0.132636035E-09
 0.122866101E+03  0.320920324E-10  0.850241659E-10
 0.122966547E+03  0.495534183E-11  0.846488649E-12
 0.123064610E+03  -.233370315E-10  -.867186242E-10
 0.123160287E+03  -.428715115E-10  -.146975323E-09
 0.123253574E+03  -.478058742E-10  -.161903896E-09
 0.123344468E+03  -.376539860E-10  -.130106126E-09
 0.123432964E+03  -.165834978E-10  -.645804691E-10
 0.123519060E+03  0.858947300E-11  0.135121866E-10
 0.123602751E+03  0.307821856E-10  0.822256975E-10
 0.123684035E+03  0.446070631E-10  0.124902813E-09
 0.123762908E+03  0.474585590E-10  0.133532694E-09
 0.123839368E+03  0.396470358E-10  0.109143238E-09
 0.123913411E+03  0.237864074E-10  0.598824732E-10
 0.123985034E+03  0.378117392E-11  -.212692424E-11
 0.124054235E+03  -.162395932E-10  -.640874024E-10
 0.124121010E+03  -.327830746E-10  -.115189849E-09
 0.124185358E+03  -.435156062E-10  -.148230351E-09
 0.124247275E+03  -.474316795E-10  -.160127561E-09
 0.124306760E+03  -.447349711E-10  -.151545475E-09
 0.124363809E+03  -.365369990E-10  -.125952942E-09
 0.124418421E+03  -.244822959E-10  -.884599671E-10
 0.124470594E+03  -.103883191E-10  -.447032223E-10
